Id_pol	NB_Claim	AMT_Claim
212433	1	1137,079102
124370	1	3170,102051
208357	1	3753,909668
141403	1	16,03637695
173366	1	41774,71289
207020	1	1837,470154
214687	1	1446,97879
211874	1	468,9136505
148689	1	6432,810059
202968	1	10939,72266
123128	1	440,8319549
178495	1	2881,264709
134492	1	1536,144836
156801	1	0
180702	1	722,2666626
191242	1	2705,681396
163584	1	288,882843
219446	1	1613,20166
216762	1	1095,602142
192019	1	1413,096863
150838	1	1942,063477
138224	1	6935,242676
188224	1	0
191459	1	2146,259033
159236	1	2991,17102
128955	1	1949,370484
180313	1	13,38585663
170960	2	5456,55542
195681	1	3152,625733
140741	1	28482,4043
124260	1	551,0539856
134657	1	1847,318848
196193	1	1733,233887
194581	1	236,1652679
184828	1	2117,511475
156797	1	675,5767823
126345	1	1555,995484
137185	1	489,3040924
159415	1	1716,410522
123752	2	13973,39648
167433	1	6658,708008
205027	1	1734,093384
141459	1	296,7201233
219101	1	119,767273
144237	1	12413,91211
167759	1	11280,24463
124702	1	1153,687226
154979	1	1783,028504
180779	1	1691,875488
205323	1	722,7124328
199252	1	2146,215088
212302	1	397,3635864
175447	1	27255,12598
185356	1	5843,914307
197147	1	4546,76477
181957	1	2095,920593
211527	1	660,1470337
209647	1	1502,424316
153096	1	2457,168274
123144	1	806,0956417
185835	1	1322,832367
147404	1	3677,105713
151245	1	497,6496734
213115	1	0
175552	1	2252,952759
145099	1	3682,497803
144539	1	524,5771179
197298	1	3256,223511
141868	1	644,2636414
181990	1	1458,044953
159242	1	1817,03064
178897	1	191,8321381
121253	1	279,9525146
172986	1	8125,813478
196803	1	4867,448731
163150	1	1700,848755
121748	1	0
131899	1	4443,518189
150962	1	4288,672485
118093	1	ANN
218368	1	866,711334
153945	1	976,9703978
213164	1	14955,21679
132319	2	33692,90039
129381	1	3125,766358
218968	1	3665,353271
221064	1	5958,12085
137333	1	2029,235596
130822	1	1614,038086
152864	1	0
181191	1	495,1501465
175937	1	558,0854187
138090	1	1393,751221
152735	1	343,5140076
205673	1	1346,5979
183570	1	1362,231446
124135	1	6,784973144
169863	1	2540,51532
200141	1	3981,669067
140518	1	2745,10492
161988	1	1507,304078
176492	1	3235,788574
202524	1	215,4264221
165235	1	1174,292999
206804	1	5926,297852
163911	1	3512,614746
145779	1	7620,788085
152772	1	11369,11963
189225	1	834,2229307
193820	1	35,68176269
151383	1	1260,501251
207770	1	3227,372314
133716	1	4998,517823
121651	1	7931,545897
130093	2	23484,60352
156625	1	0
178918	1	356,8157959
140276	1	9268,57764
167887	1	8423,695313
151924	1	3282,731689
126115	1	279,9525146
131332	1	2947,706177
152273	1	7305,845215
215582	1	59,86232758
219049	1	477,3110047
207501	1	2102,079163
170000	1	491,7731324
215147	1	3278,837036
136494	1	6239,625
142492	1	5844,689209
182064	1	1571,259155
161255	1	1050,64508
162046	1	3054,316406
131093	1	521,8764953
121171	1	24794,36426
216110	1	0
206485	1	1837,455506
193803	1	798,101532
146628	1	1584,483032
219026	1	2981,213745
110491	1	ANN
195848	1	2854,930298
129122	1	4494,271729
121089	2	1567,220032
209313	1	69,24918365
209179	1	1848,537232
122976	1	491,6523285
177684	1	299,6315918
170622	1	1897,055786
153350	1	5470,903931
179657	1	0
135238	1	44,1477356
215793	1	1461,363556
162199	1	1083,259735
187699	1	689,4150238
135313	1	1640,176391
202920	1	299,8249512
137954	1	422,4097138
202348	1	0
126563	1	1272,248016
128336	1	6001,154663
122252	1	2311,481141
153026	1	2939,660156
139960	1	4018,142212
202626	1	261,1151047
182900	1	9751,239255
138156	1	385,0898895
159218	1	2914,485718
180166	1	2213,008484
176631	1	861,1585695
165196	1	0
194311	1	3773,197266
124677	1	181,5238037
146950	2	8450,458005
121537	1	200,0099945
141324	1	1374,407318
176981	1	8158,989255
148278	1	1362,182099
177744	NB_CLAIM:1	2017,659119
204536	1	4814,157349
208938	1	10215,08496
186586	1	3490,059082
142229	1	3652,460816
155185	1	221,1981812
202268	1	3345,895752
126340	1	486,6747437
206575	1	2465,128235
158637	1	3320,4646
212917	1	3831,48999
180814	1	1336,120514
183913	1	3849,175048
165968	1	18870,59327
189921	1	729,5814515
132028	1	1046,106629
211063	1	31941,78516
137312	1	3560,121827
218142	1	1682,598816
142026	1	1228,199158
191604	1	3408,331421
155600	2	1627,190552
147493	1	11485,40332
151586	1	5740,903564
181721	1	1013,525207
122623	1	406,2545471
129865	1	1756,174438
191035	1	578,3704834
126645	1	0
197921	1	5110,905762
166544	1	1070,499573
129429	1	1370,637268
131241	1	24221,06396
130669	1	3135,185303
185906	1	4175,234253
135295	1	917,6050418
202008	1	11956,09131
216367	1	563,1424256
213172	1	3445,631836
127038	1	456,0270996
180394	1	1830,1875
147682	1	216,576004
215079	1	0
143927	2	8297,32617
171712	1	1569,206543
186108	1	771
219543	1	23096,40235
130653	1	0
147829	1	3718,731934
215695	1	2921,363525
155031	1	2894,079163
152064	1	266,2278443
152564	1	2048,72168
124284	1	285,4376221
161040	1	3355,606202
197082	1	2683,34436
133170	1	12753,00879
194603	1	10534,73144
154760	1	159,2248993
205574	1	19814,89454
123947	1	254,4367676
213883	1	73,40345765
152953	1	1459,758911
195661	1	5584,213989
165041	1	484,7193604
170328	1	11212,03858
112027	1	ANN
170890	1	237,1914596
136346	1	640,2039642
206772	1	811,0980833
146754	1	0
207322	1	0
178114	1	115,616272
203245	1	4346,638916
215814	2	1246,076294
152976	1	1234,146331
163838	1	3260,077881
176286	1	18101,57227
196568	1	0
185072	1	173,4678955
169156	1	1703,655762
138737	1	1770,212402
165807	1	4809,379761
166492	1	13498,78418
219966	1	1110,557007
176444	1	0
181853	1	4722,226684
166601	1	5076,469849
139964	1	1732,494141
220348	1	714,8593598
191471	1	4592,54187
157974	1	103,2109909
139504	1	606,741806
134039	1	650,2783356
157841	1	279,9525146
167101	1	1885,129578
209098	1	404,6019287
188357	1	1789,415405
173633	1	988,4167785
198433	1	2331,145203
143853	1	911,3629763
201249	1	3175,216553
145985	1	569,6191406
180811	1	0
150972	1	5940,234375
128076	1	2304,780945
166858	1	533,2998505
149937	1	3236,887939
165574	1	0
137178	1	0
192927	1	491,4538422
193970	1	0
206698	1	23522,86817
172413	1	416,4535675
178485	1	11942,36865
165413	1	0
154427	1	13767,25196
138003	1	1878,985474
172585	1	1083,014648
121670	1	648,914978
158536	1	2803,313599
127903	1	5170,145508
133518	1	6811,625977
143593	1	93,66562268
211488	1	996,8320313
136143	1	632,8110809
131727	1	1238,083831
209306	1	1067,503052
144701	1	981,0249023
208865	1	2014,140747
164800	1	513,3879089
140852	1	1011,622742
141897	1	2817,553711
174288	1	0
135457	1	4584,947754
196991	1	3375,981445
197869	1	129,8001595
210666	1	0
